,SPI01,SPI03,SPI06,SPI09,SPI12,SPI18,SPI24,SPI36,SPI48,STI01,STI03,STI06,STI09,STI12,STI18,STI24,Water,Urban,Barren,Forest,Shrubland,Grassland,Agriculture,Wetland,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
8001,-0.822876821,-0.877323253676852,-0.947472726,-0.499054227,-0.263871119,-0.11650744,-0.648943135,-0.035646784,0.481799504,2.037647334,2.198928639,1.963423842,1.41556968,1.725449759,0.779642444,1.254517788,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8001,-0.144328722,-1.24707097146393,-0.925401385,-0.937492695,-0.85246974,-0.225066261,-0.69984347,-0.201471355,0.609833759,1.766079703,2.243409421,2.205193996,1.658624332,1.876732135,1.146552822,1.417965555,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8001,-2.995449968,-1.9443809268249,-2.080686854,-1.480406419,-1.074480044,-0.645762354,-0.940797981,-0.416718333,0.033551749,0.926588856,2.307482772,3.085968895,1.908201791,1.708163148,1.586384358,1.431586013,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8001,0.903987828,-0.706126906944201,-1.242063514,-1.299049636,-0.92881188,-0.27064187,-0.60091359,-0.350396829,0.133741349,0.474463412,1.468028486,2.64829269,2.452597245,1.842944033,1.610820189,1.36192424,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8001,0.39415538,-0.473890544981656,-1.43108228,-1.170995696,-1.20332533,-0.155066946,-0.498484542,-0.546636629,0.190712659,-0.814273994,0.145067599,1.786541035,2.0056832,1.573873007,1.499368762,1.104281982,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8001,-0.688860582,0.478865482835647,-1.004174601,-1.649151729,-1.202004109,-0.743506651,-0.529063518,-0.575231087,0.17363438,0.928650362,0.402264504,1.632794607,2.674592142,1.811091453,1.842025849,1.299875856,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8001,-0.326554703,-0.326546983855057,-0.761191235,-1.266711497,-1.364916813,-0.687039214,-0.52257054,-0.659430467,0.117255528,0.229238139,0.345898437,1.063715334,2.115150568,2.091287626,1.915904403,1.11502085,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8001,-0.360488386,-1.2879183571296,-0.974607575,-1.682342318,-1.442115446,-1.329139705,-0.61015563,-0.641263421,0.093808159,-0.362835928,0.443949014,0.467830943,1.549376167,1.86086636,1.766612569,1.185823528,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8001,1.165404582,0.223679576821262,0.417493474,-0.980271455,-1.666779904,-0.893470199,-0.531758481,-0.591184503,0.197902519,-0.568610395,-0.355423749,-0.038903113,0.952216177,1.897109609,1.260627338,1.238029347,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8001,0.627533859,0.746374696977185,0.223996239,-0.432789425,-1.041761527,-0.869235131,-0.258240442,-0.554031408,0.282461594,-1.435356087,-1.160738023,-0.599656385,0.039366266,1.110819855,1.039027155,0.960830024,0.8,13.2,0.0,0.0,0.5,25.6,58.7,1.0,0.4511,0.4139,0.9452,0.5922,0.6332,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
