,SPI01,SPI03,SPI06,SPI09,SPI12,SPI18,SPI24,SPI36,SPI48,STI01,STI03,STI06,STI09,STI12,STI18,STI24,Water,Urban,Barren,Forest,Shrubland,Grassland,Agriculture,Wetland,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
6001,-1.344490551,-2.42187691100169,-0.545634766,-0.59006513,-0.380871667,-1.028228496,-0.925890939,-0.21014604,-0.193133087,0.45970641,-0.777597935,-0.383557497,-0.899373102,-0.966499769,-1.051948642,-1.643454041,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,-0.264652226,-2.11628536510621,-0.617188229,-0.661088936,-0.780589377,-1.123147334,-0.827220475,-0.405315047,-0.156854252,1.200791643,0.352438197,-0.042412044,-0.296109322,-0.634002641,-0.881120069,-1.360446877,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,-0.734550332,-1.49688134553243,-1.020266709,-0.734734698,-0.741275807,-1.094826295,-0.926207287,-0.480021537,-0.206317795,0.335513427,0.875727449,-0.033903231,-0.159040652,-0.505755036,-0.643489378,-1.04408751,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,0.38716716,-0.807189775963448,-2.319121748,-0.69397588,-0.735729525,-0.724592547,-1.134382394,-0.467081834,-0.200034173,0.433620209,0.860263207,0.090425179,0.173371936,-0.266285573,-0.541260736,-0.780660529,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6001,0.062706778,-0.672313432215711,-2.193369215,-0.701265631,-0.737320957,-0.703908176,-1.135568927,-0.467202672,-0.20006783,0.108668381,0.415608424,0.444396668,0.173101608,-0.046136894,-0.563297078,-0.648035804,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6001,0.607428738,0.215322130611131,-1.498201485,-1.025220675,-0.739968383,-0.309359094,-1.136363462,-0.467263722,-0.200104679,-1.280841084,-0.218486294,0.511187668,-0.087650911,-0.179306554,-0.670898556,-0.632304104,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6001,1.279251494,1.18187832453333,-0.502633311,-2.127349042,-0.629469116,-0.477458358,-1.063739777,-0.416618591,-0.176006135,-0.82385895,-0.918003839,0.172563778,-0.262693804,-0.116989618,-0.589818384,-0.769699062,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6001,-1.49356889,-0.236738701632165,-1.045832836,-2.245974004,-0.78761979,-0.943366405,-1.247348579,-0.50439016,-0.415352644,-0.926562796,-1.345052433,-0.556738084,-0.198106794,-0.320159264,-0.699337152,-0.902781358,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6001,-0.462523768,-0.751820134273178,-0.835985652,-1.773305478,-1.247364825,-0.928379925,-1.175503333,-0.596222749,-0.331600816,0.440931736,-0.677102219,-0.601940609,0.134814162,-0.315391689,-0.621223965,-0.727408082,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6001,-1.680987452,-2.0071787126918,-1.739668906,-1.936402264,-2.966050566,-1.330823305,-1.190879708,-1.079507529,-0.52523449,-0.221523767,-0.338988552,-0.779219055,-0.041797432,-0.355240033,-0.541872009,-0.723068943,12.9,30.5,0.3,15.7,13.8,23.4,1.3,2.2,0.2961,0.0328,0.9812,0.9112,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
